{'eval_loss': 1.4319580793380737, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6332979288369623, 'eval_runtime': 8.7001, 'eval_samples_per_second': 865.735, 'eval_steps_per_second': 54.137}
{'eval_loss': 1.4344562292099, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6338289962825279, 'eval_runtime': 8.6832, 'eval_samples_per_second': 867.418, 'eval_steps_per_second': 54.242}
{'eval_loss': 1.44025719165802, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6342272968667021, 'eval_runtime': 8.6784, 'eval_samples_per_second': 867.901, 'eval_steps_per_second': 54.273}
{'eval_loss': 1.4385179281234741, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6332979288369623, 'eval_runtime': 8.6987, 'eval_samples_per_second': 865.874, 'eval_steps_per_second': 54.146}
{'eval_loss': 1.4548627138137817, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6363515666489644, 'eval_runtime': 8.655, 'eval_samples_per_second': 870.249, 'eval_steps_per_second': 54.419}
{'eval_loss': 1.4356287717819214, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6321030270844398, 'eval_runtime': 8.6921, 'eval_samples_per_second': 866.537, 'eval_steps_per_second': 54.187}
{'eval_loss': 1.4639250040054321, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6354221986192247, 'eval_runtime': 8.7049, 'eval_samples_per_second': 865.257, 'eval_steps_per_second': 54.107}
{'eval_loss': 1.484503149986267, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6321030270844398, 'eval_runtime': 8.7316, 'eval_samples_per_second': 862.613, 'eval_steps_per_second': 53.942}
{'eval_loss': 1.4621977806091309, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.633563462559745, 'eval_runtime': 8.7013, 'eval_samples_per_second': 865.623, 'eval_steps_per_second': 54.13}
{'eval_loss': 1.4657196998596191, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.634891131173659, 'eval_runtime': 8.6264, 'eval_samples_per_second': 873.137, 'eval_steps_per_second': 54.6}
