{'eval_loss': 1.4639406204223633, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.7140201805629315, 'eval_runtime': 51.2398, 'eval_samples_per_second': 146.995, 'eval_steps_per_second': 9.192}
{'eval_loss': 1.45453941822052, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7132235793945831, 'eval_runtime': 51.2526, 'eval_samples_per_second': 146.959, 'eval_steps_per_second': 9.19}
{'eval_loss': 1.4684970378875732, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7100371747211895, 'eval_runtime': 51.404, 'eval_samples_per_second': 146.526, 'eval_steps_per_second': 9.163}
{'eval_loss': 1.4871556758880615, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7122942113648434, 'eval_runtime': 50.8494, 'eval_samples_per_second': 148.124, 'eval_steps_per_second': 9.263}
{'eval_loss': 1.4880701303482056, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.713489113117366, 'eval_runtime': 51.4134, 'eval_samples_per_second': 146.499, 'eval_steps_per_second': 9.161}
{'eval_loss': 1.4645695686340332, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7168082846521509, 'eval_runtime': 51.1566, 'eval_samples_per_second': 147.234, 'eval_steps_per_second': 9.207}
{'eval_loss': 1.474448561668396, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.7110993096123208, 'eval_runtime': 51.2234, 'eval_samples_per_second': 147.042, 'eval_steps_per_second': 9.195}
{'eval_loss': 1.499860405921936, 'eval_model_preparation_time': 0.0102, 'eval_acc': 0.7129580456718003, 'eval_runtime': 51.1121, 'eval_samples_per_second': 147.362, 'eval_steps_per_second': 9.215}
{'eval_loss': 1.5005735158920288, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7138874137015401, 'eval_runtime': 51.1994, 'eval_samples_per_second': 147.111, 'eval_steps_per_second': 9.199}
{'eval_loss': 1.5129446983337402, 'eval_model_preparation_time': 0.01, 'eval_acc': 0.7181359532660648, 'eval_runtime': 51.0726, 'eval_samples_per_second': 147.476, 'eval_steps_per_second': 9.222}
{'eval_loss': 1.5633255243301392, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7109665427509294, 'eval_runtime': 52.065, 'eval_samples_per_second': 144.665, 'eval_steps_per_second': 9.046}
{'eval_loss': 1.5013903379440308, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7194636218799788, 'eval_runtime': 51.2395, 'eval_samples_per_second': 146.996, 'eval_steps_per_second': 9.192}
{'eval_loss': 1.5057024955749512, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.716542750929368, 'eval_runtime': 52.0057, 'eval_samples_per_second': 144.83, 'eval_steps_per_second': 9.057}
{'eval_loss': 1.525814175605774, 'eval_model_preparation_time': 0.0087, 'eval_acc': 0.716542750929368, 'eval_runtime': 51.194, 'eval_samples_per_second': 147.127, 'eval_steps_per_second': 9.2}
{'eval_loss': 1.5213847160339355, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7166755177907594, 'eval_runtime': 51.7867, 'eval_samples_per_second': 145.443, 'eval_steps_per_second': 9.095}
{'eval_loss': 1.5583232641220093, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7176048858204992, 'eval_runtime': 51.175, 'eval_samples_per_second': 147.181, 'eval_steps_per_second': 9.204}
{'eval_loss': 1.5417451858520508, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7162772172065852, 'eval_runtime': 51.3172, 'eval_samples_per_second': 146.773, 'eval_steps_per_second': 9.178}
{'eval_loss': 1.580038070678711, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7138874137015401, 'eval_runtime': 50.9982, 'eval_samples_per_second': 147.691, 'eval_steps_per_second': 9.236}
{'eval_loss': 1.5664000511169434, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.7169410515135423, 'eval_runtime': 51.0891, 'eval_samples_per_second': 147.429, 'eval_steps_per_second': 9.219}
{'eval_loss': 1.5535005331039429, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7112320764737121, 'eval_runtime': 51.0046, 'eval_samples_per_second': 147.673, 'eval_steps_per_second': 9.234}
{'eval_loss': 1.5834792852401733, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.712161444503452, 'eval_runtime': 51.4415, 'eval_samples_per_second': 146.419, 'eval_steps_per_second': 9.156}
{'eval_loss': 1.5853221416473389, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.712161444503452, 'eval_runtime': 51.0215, 'eval_samples_per_second': 147.624, 'eval_steps_per_second': 9.231}
{'eval_loss': 1.5873624086380005, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7137546468401487, 'eval_runtime': 51.7453, 'eval_samples_per_second': 145.559, 'eval_steps_per_second': 9.102}
{'eval_loss': 1.603804111480713, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7136218799787573, 'eval_runtime': 50.7974, 'eval_samples_per_second': 148.275, 'eval_steps_per_second': 9.272}
{'eval_loss': 1.6188089847564697, 'eval_model_preparation_time': 0.0115, 'eval_acc': 0.7105682421667552, 'eval_runtime': 51.555, 'eval_samples_per_second': 146.096, 'eval_steps_per_second': 9.136}
{'eval_loss': 1.621767520904541, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7197291556027615, 'eval_runtime': 50.9462, 'eval_samples_per_second': 147.842, 'eval_steps_per_second': 9.245}
{'eval_loss': 1.6110786199569702, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.7169410515135423, 'eval_runtime': 51.485, 'eval_samples_per_second': 146.295, 'eval_steps_per_second': 9.148}
{'eval_loss': 1.6467708349227905, 'eval_model_preparation_time': 0.0108, 'eval_acc': 0.7146840148698885, 'eval_runtime': 50.9299, 'eval_samples_per_second': 147.889, 'eval_steps_per_second': 9.248}
{'eval_loss': 1.6913771629333496, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7110993096123208, 'eval_runtime': 50.866, 'eval_samples_per_second': 148.075, 'eval_steps_per_second': 9.26}
{'eval_loss': 1.6522477865219116, 'eval_model_preparation_time': 0.0107, 'eval_acc': 0.7104354753053638, 'eval_runtime': 51.0638, 'eval_samples_per_second': 147.502, 'eval_steps_per_second': 9.224}
{'eval_loss': 1.6500585079193115, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.715215082315454, 'eval_runtime': 51.3295, 'eval_samples_per_second': 146.738, 'eval_steps_per_second': 9.176}
{'eval_loss': 1.689012050628662, 'eval_model_preparation_time': 0.0088, 'eval_acc': 0.7122942113648434, 'eval_runtime': 51.0816, 'eval_samples_per_second': 147.45, 'eval_steps_per_second': 9.221}
{'eval_loss': 1.6575695276260376, 'eval_model_preparation_time': 0.0099, 'eval_acc': 0.7203929899097186, 'eval_runtime': 51.2778, 'eval_samples_per_second': 146.886, 'eval_steps_per_second': 9.185}
{'eval_loss': 1.6345726251602173, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7184014869888475, 'eval_runtime': 51.0213, 'eval_samples_per_second': 147.625, 'eval_steps_per_second': 9.231}
{'eval_loss': 1.6726760864257812, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7181359532660648, 'eval_runtime': 51.2292, 'eval_samples_per_second': 147.025, 'eval_steps_per_second': 9.194}
{'eval_loss': 1.6615219116210938, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7156133828996283, 'eval_runtime': 51.1733, 'eval_samples_per_second': 147.186, 'eval_steps_per_second': 9.204}
{'eval_loss': 1.6753147840499878, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7158789166224111, 'eval_runtime': 51.5446, 'eval_samples_per_second': 146.126, 'eval_steps_per_second': 9.138}
{'eval_loss': 1.6498138904571533, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.7141529474243229, 'eval_runtime': 50.952, 'eval_samples_per_second': 147.825, 'eval_steps_per_second': 9.244}
{'eval_loss': 1.6895620822906494, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7168082846521509, 'eval_runtime': 51.0629, 'eval_samples_per_second': 147.504, 'eval_steps_per_second': 9.224}
{'eval_loss': 1.6998323202133179, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7112320764737121, 'eval_runtime': 51.0743, 'eval_samples_per_second': 147.471, 'eval_steps_per_second': 9.222}
{'eval_loss': 1.680198311805725, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7187997875730218, 'eval_runtime': 51.1743, 'eval_samples_per_second': 147.183, 'eval_steps_per_second': 9.204}
{'eval_loss': 1.6764546632766724, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7130908125331917, 'eval_runtime': 51.4579, 'eval_samples_per_second': 146.372, 'eval_steps_per_second': 9.153}
{'eval_loss': 1.6992665529251099, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7149495485926712, 'eval_runtime': 50.9271, 'eval_samples_per_second': 147.898, 'eval_steps_per_second': 9.249}
