{'eval_loss': 1.4088659286499023, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6356877323420075, 'eval_runtime': 17.1936, 'eval_samples_per_second': 438.069, 'eval_steps_per_second': 27.394}
{'eval_loss': 1.413723349571228, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6366171003717472, 'eval_runtime': 17.0757, 'eval_samples_per_second': 441.096, 'eval_steps_per_second': 27.583}
{'eval_loss': 1.4377435445785522, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.6309081253319172, 'eval_runtime': 16.8509, 'eval_samples_per_second': 446.978, 'eval_steps_per_second': 27.951}
{'eval_loss': 1.4277584552764893, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.6334306956983536, 'eval_runtime': 18.9285, 'eval_samples_per_second': 397.918, 'eval_steps_per_second': 24.883}
{'eval_loss': 1.4284324645996094, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6374137015400956, 'eval_runtime': 15.1465, 'eval_samples_per_second': 497.278, 'eval_steps_per_second': 31.096}
{'eval_loss': 1.4475187063217163, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.6330323951141795, 'eval_runtime': 15.167, 'eval_samples_per_second': 496.604, 'eval_steps_per_second': 31.054}
{'eval_loss': 1.4249638319015503, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6351566648964418, 'eval_runtime': 16.0196, 'eval_samples_per_second': 470.173, 'eval_steps_per_second': 29.401}
{'eval_loss': 1.460140347480774, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6338289962825279, 'eval_runtime': 15.0656, 'eval_samples_per_second': 499.948, 'eval_steps_per_second': 31.263}
{'eval_loss': 1.4195090532302856, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.6360860329261816, 'eval_runtime': 15.0027, 'eval_samples_per_second': 502.042, 'eval_steps_per_second': 31.394}
{'eval_loss': 1.448584794998169, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6371481678173128, 'eval_runtime': 16.2963, 'eval_samples_per_second': 462.192, 'eval_steps_per_second': 28.902}
{'eval_loss': 1.4281121492385864, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.634891131173659, 'eval_runtime': 15.2112, 'eval_samples_per_second': 495.162, 'eval_steps_per_second': 30.964}
{'eval_loss': 1.434874176979065, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.637546468401487, 'eval_runtime': 17.0808, 'eval_samples_per_second': 440.964, 'eval_steps_per_second': 27.575}
{'eval_loss': 1.4362249374389648, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6398035050451407, 'eval_runtime': 16.731, 'eval_samples_per_second': 450.181, 'eval_steps_per_second': 28.151}
{'eval_loss': 1.444553017616272, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6382103027084439, 'eval_runtime': 15.0959, 'eval_samples_per_second': 498.942, 'eval_steps_per_second': 31.2}
{'eval_loss': 1.448352336883545, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.645246946362188, 'eval_runtime': 17.0361, 'eval_samples_per_second': 442.12, 'eval_steps_per_second': 27.647}
{'eval_loss': 1.4453299045562744, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6355549654806161, 'eval_runtime': 17.0087, 'eval_samples_per_second': 442.832, 'eval_steps_per_second': 27.692}
{'eval_loss': 1.471864104270935, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.63688263409453, 'eval_runtime': 17.0019, 'eval_samples_per_second': 443.008, 'eval_steps_per_second': 27.703}
{'eval_loss': 1.49112069606781, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6342272968667021, 'eval_runtime': 17.021, 'eval_samples_per_second': 442.512, 'eval_steps_per_second': 27.672}
{'eval_loss': 1.4625197649002075, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6355549654806161, 'eval_runtime': 17.149, 'eval_samples_per_second': 439.211, 'eval_steps_per_second': 27.465}
{'eval_loss': 1.4717791080474854, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6342272968667021, 'eval_runtime': 16.9573, 'eval_samples_per_second': 444.175, 'eval_steps_per_second': 27.776}
{'eval_loss': 1.4722697734832764, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6366171003717472, 'eval_runtime': 16.9917, 'eval_samples_per_second': 443.275, 'eval_steps_per_second': 27.719}
{'eval_loss': 1.4732080698013306, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6404673393520978, 'eval_runtime': 16.9803, 'eval_samples_per_second': 443.573, 'eval_steps_per_second': 27.738}
{'eval_loss': 1.4596359729766846, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.637546468401487, 'eval_runtime': 15.0798, 'eval_samples_per_second': 499.478, 'eval_steps_per_second': 31.234}
{'eval_loss': 1.4639161825180054, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6343600637280935, 'eval_runtime': 16.3602, 'eval_samples_per_second': 460.385, 'eval_steps_per_second': 28.789}
{'eval_loss': 1.4874279499053955, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6346255974508762, 'eval_runtime': 17.1264, 'eval_samples_per_second': 439.788, 'eval_steps_per_second': 27.501}
{'eval_loss': 1.4557490348815918, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.63688263409453, 'eval_runtime': 17.0844, 'eval_samples_per_second': 440.871, 'eval_steps_per_second': 27.569}
{'eval_loss': 1.456920862197876, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6321030270844398, 'eval_runtime': 17.4599, 'eval_samples_per_second': 431.387, 'eval_steps_per_second': 26.976}
{'eval_loss': 1.4590140581130981, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6336962294211365, 'eval_runtime': 16.8466, 'eval_samples_per_second': 447.092, 'eval_steps_per_second': 27.958}
{'eval_loss': 1.455690622329712, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6408656399362719, 'eval_runtime': 17.1553, 'eval_samples_per_second': 439.048, 'eval_steps_per_second': 27.455}
{'eval_loss': 1.4579124450683594, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.6398035050451407, 'eval_runtime': 16.8539, 'eval_samples_per_second': 446.899, 'eval_steps_per_second': 27.946}
{'eval_loss': 1.471011996269226, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6364843335103558, 'eval_runtime': 17.1358, 'eval_samples_per_second': 439.547, 'eval_steps_per_second': 27.486}
{'eval_loss': 1.4747438430786133, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.6358204992033988, 'eval_runtime': 9.0076, 'eval_samples_per_second': 836.185, 'eval_steps_per_second': 52.289}
