{'eval_loss': 1.4640032052993774, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7161444503451938, 'eval_runtime': 80.0596, 'eval_samples_per_second': 94.08, 'eval_steps_per_second': 5.883}
{'eval_loss': 1.4842123985290527, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7126925119490175, 'eval_runtime': 81.2221, 'eval_samples_per_second': 92.733, 'eval_steps_per_second': 5.799}
{'eval_loss': 1.4847683906555176, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7168082846521509, 'eval_runtime': 80.3066, 'eval_samples_per_second': 93.791, 'eval_steps_per_second': 5.865}
{'eval_loss': 1.493856430053711, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.713489113117366, 'eval_runtime': 79.4363, 'eval_samples_per_second': 94.818, 'eval_steps_per_second': 5.929}
{'eval_loss': 1.5109950304031372, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7166755177907594, 'eval_runtime': 79.259, 'eval_samples_per_second': 95.03, 'eval_steps_per_second': 5.943}
{'eval_loss': 1.521014928817749, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7148167817312798, 'eval_runtime': 79.5319, 'eval_samples_per_second': 94.704, 'eval_steps_per_second': 5.922}
{'eval_loss': 1.501715064048767, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.7133563462559745, 'eval_runtime': 79.3574, 'eval_samples_per_second': 94.912, 'eval_steps_per_second': 5.935}
{'eval_loss': 1.5480514764785767, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7124269782262347, 'eval_runtime': 79.4811, 'eval_samples_per_second': 94.765, 'eval_steps_per_second': 5.926}
{'eval_loss': 1.536137580871582, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7122942113648434, 'eval_runtime': 79.9186, 'eval_samples_per_second': 94.246, 'eval_steps_per_second': 5.893}
{'eval_loss': 1.5602999925613403, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.717206585236325, 'eval_runtime': 79.5342, 'eval_samples_per_second': 94.701, 'eval_steps_per_second': 5.922}
{'eval_loss': 1.6025854349136353, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7174721189591078, 'eval_runtime': 79.6902, 'eval_samples_per_second': 94.516, 'eval_steps_per_second': 5.91}
